Date,Description,Amount
01/03/23,BANK CENTRAL A 12/31 #000059012 WITHDRWL THE RITZCARLTON H BADUNG -,128.68
01/03/23,BANK CENTRAL A 12/31 #000059016 WITHDRWL THE RITZCARLTON H BADUNG -,128.68
01/03/23,BANK CENTRAL A 01/03 #000067283 WITHDRWL THE RITZCARLTON H BADUNG -,129.19
01/06/23,TMB 01/07 #000774360 WITHDRWL JW MARRIOTT HOTEL BANGKOK -,381.76
01/09/23,BKOFAMERICA ATM 01/08 #000008767 WITHDRWL LINCOLN-TUSTIN ORANGE CA -,200.00
01/13/23,BKOFAMERICA ATM 01/13 #000007726 WITHDRWL LINCOLN-TUSTIN ORANGE CA -,800.00
01/19/23,BKOFAMERICA ATM 01/19 #000004752 WITHDRWL EAST HOLLYWOOD LOS ANGLES CA -,500.00
01/20/23,BKOFAMERICA ATM 01/20 #000009210 WITHDRWL LINCOLN-TUSTIN ORANGE CA -,800.00
01/23/23,CHASE 01/21 #000010632 WITHDRWL 373 N MILWAUKEE S BOISE ID -,203.50
01/25/23,BKOFAMERICA ATM 01/25 #000002797 WITHDRWL LINCOLN-TUSTIN ORANGE CA -,500.00
01/26/23,BKOFAMERICA ATM 01/26 #000001423 WITHDRWL LINCOLN-TUSTIN ORANGE CA -,300.00
01/27/23,BKOFAMERICA ATM 01/27 #000001592 WITHDRWL LINCOLN-TUSTIN ORANGE CA -,800.00
01/30/23,BKOFAMERICA ATM 01/29 #000003649 WITHDRWL HOLLYWOOD MAIN HOLLYWOOD CA -,500.00
01/30/23,BKOFAMERICA ATM 01/30 #000004124 WITHDRWL EAST HOLLYWOOD LOS ANGELES CA -,100.00
