Vendor SKU,RC SKU,Description,Size,Vendor Color,Color,Quantity
,,,XS,WHITE,WHITE,3
,,,S,WHITE,WHITE,6
,,,M,WHITE,WHITE,9
,,,L,WHITE,WHITE,9
,,,XL,WHITE,WHITE,3
,,,S,BLACK,BLACK,3
,,,M,BLACK,BLACK,5
,,,L,BLACK,BLACK,5
,,,XL,BLACK,BLACK,1
,,,XS,NAVY,NAVY,1
,,,S,NAVY,NAVY,3
,,,M,NAVY,NAVY,9
,,,L,NAVY,NAVY,9
,,,XL,NAVY,NAVY,3
,,,XS,WHITE,WHITE,1
,,,S,WHITE,WHITE,3
,,,M,WHITE,WHITE,6
,,,L,WHITE,WHITE,9
,,,XL,WHITE,WHITE,3
,,,XS,WHITE,WHITE,2
,,,S,WHITE,WHITE,9
,,,M,WHITE,WHITE,11
,,,L,WHITE,WHITE,11
,,,XS,GREY,GREY,3
,,,S,GREY,GREY,6
,,,M,GREY,GREY,9
,,,L,GREY,GREY,8
,,,XL,GREY,GREY,3
,,,XS,WHITE,WHITE,3
,,,S,WHITE,WHITE,3
,,,M,WHITE,WHITE,3
,,,L,WHITE,WHITE,3
,,,XS,BLACK,BLACK,1
,,,S,BLACK,BLACK,9
,,,M,BLACK,BLACK,9
,,,XS,GREY,GREY,3
,,,S,GREY,GREY,7
,,,M,GREY,GREY,9
,,,L,GREY,GREY,9
,,,XL,GREY,GREY,3
,,,XS,WHITE,WHITE,1
,,,S,WHITE,WHITE,3
,,,M,WHITE,WHITE,4
,,,L,WHITE,WHITE,2
,,,XS,BLACK,BLACK,1
,,,S,BLACK,BLACK,4
,,,M,BLACK,BLACK,11
,,,L,BLACK,BLACK,11
,,,XL,BLACK,BLACK,4
,,,XS,BLACK,BLACK,7
,,,S,BLACK,BLACK,10
,,,M,BLACK,BLACK,6
,,,L,BLACK,BLACK,3
,,,S,WHITE,WHITE,1
,,,S,BLACK,BLACK,1
,,,S,NAVY,NAVY,1
,,,S,WHITE,WHITE,1
,,,S,WHITE,WHITE,1
,,,S,GREY,GREY,1
,,,S,WHITE,WHITE,1
,,,S,BLACK,BLACK,1
,,,S,WHITE,WHITE,1
,,,S,BLACK,BLACK,1
