filename,location,date,total_amount
eReceipt(1).pdf,"75 MCLEAN BLVD.PATERSON, NJ 07514",09/14/19,95.87
eReceipt(10).pdf,1200 FLOWER ST. BURBANK CA-91502,11/06/19,179
eReceipt(11).pdf,1200 FLOWER ST. BURBANK CA-91502,11/06/19,406
eReceipt(12).pdf,6955837500015 PWR STRIP <A>,11/09/20,521.94
eReceipt(13).pdf,,11/10/19,306.61
eReceipt(14).pdf,,11/10/19,309.00
eReceipt(15).pdf,,11/10/19,278.07
eReceipt(16).pdf,"5600 SUNSET BLVD HOLLYWOOD, CA 90028",12/08/19,8.74
eReceipt(17).pdf,1200 FLOWER ST. BURBANK CA-91502 Entries must be completed within 14 days,12/25/20,237.68
eReceipt(2).pdf,"75 MCLEAN BLVD.PATERSON, NJ 07514",09/22/19,14.44
eReceipt(3).pdf,"75 MCLEAN BLVD.PATERSON, NJ 07514",09/27/19,163.07
eReceipt(4).pdf,"75 MCLEAN BLVD.PATERSON, NJ 07514",09/29/19,66.59
eReceipt(5).pdf,1200 FLOWER ST. BURBANK CA-91502,10/12/19,377
eReceipt(6).pdf,038753335308 HANGER STRAP <A> website. No purchase necessary.,10/24/20,176
eReceipt(7).pdf,,11/02/19,340.67
eReceipt(8).pdf,,11/02/19,-604.16
eReceipt(9).pdf,1200 FLOWER ST. BURBANK CA-91502,11/06/19,-190
eReceipt.pdf,"75 MCLEAN BLVD.PATERSON, NJ 07514",09/11/19,95.87
