Invoice Date,Invoice ID,Invoice Number,Invoice Status,Customer ID,Customer Name,Company Name,Due Date,PurchaseOrder,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Template Name,Entity Discount Percent,WriteOff Date,WriteOff Amount,WriteOff Exchange Rate,SubTotal,Total,Balance,Adjustment,Adjustment Description,Expected Payment Date,Last Payment Date,Payment Terms,Payment Terms Label,Notes,Terms & Conditions,Entity Discount Amount,Branch ID,Branch Name,Shipping Charge,Item Name,Item Desc,Quantity,Discount,Discount Amount,Item Total,Usage unit,Item Price,Expense Reference ID,Recurrence Name,PayPal,Authorize.Net,Google Checkout,Payflow Pro,Stripe,Paytm,2Checkout,Braintree,Forte,WorldPay,Payments Pro,Square,WePay,Razorpay,GoCardless,Partial Payments,Billing Address,Billing City,Billing State,Billing Country,Billing Code,Billing Phone,Billing Fax,Shipping Address,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone Number,SKU,Project ID,Project Name,Round Off,Sales person,Subject,Primary Contact EmailID,Primary Contact Mobile,Primary Contact Phone,Estimate Number
9/11/2023,2930117000000622001,INV-001111,Draft,2930117000000543729,XANADU,XANADU,9/11/2023,1595,USD,1,item_level,TRUE,Standard Template,0,,0,1,720,750,750,0,Adjustment,,8/14/2023,0,Due on Receipt,Thanks for your business.,,0,,,30,,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: MICHIGAN OVERSIZE PULLOVER
STYLE#: PPCKIDSSUM103
C/#: ROYAL BLUE
S X 1
M X 2
L X 2
XL X 1",6,0,0,156,,26,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,,,,0,,,,,,
9/11/2023,2930117000000622001,INV-001111,Draft,2930117000000543729,XANADU,XANADU,9/11/2023,1595,USD,1,item_level,TRUE,Standard Template,0,,0,1,720,750,750,0,Adjustment,,8/14/2023,0,Due on Receipt,Thanks for your business.,,0,,,30,,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: NYC BLOCK OVERSIZED PULLOVER
STYLE#: PPCKIDSSUM105
C/#: BLACK
S X 1
M X 2
L X 2
XL X 1",6,0,0,156,,26,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,,,,0,,,,,,
9/11/2023,2930117000000622001,INV-001111,Draft,2930117000000543729,XANADU,XANADU,9/11/2023,1595,USD,1,item_level,TRUE,Standard Template,0,,0,1,720,750,750,0,Adjustment,,8/14/2023,0,Due on Receipt,Thanks for your business.,,0,,,30,,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: WOODSTOCK PEACE & LOVE CROP
STYLE#: PPCKIDSSUM112
C/#: WHITE
S X 1
M X 2
L X 2
XL X 1",6,0,0,144,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,,,,0,,,,,,
9/11/2023,2930117000000622001,INV-001111,Draft,2930117000000543729,XANADU,XANADU,9/11/2023,1595,USD,1,item_level,TRUE,Standard Template,0,,0,1,720,750,750,0,Adjustment,,8/14/2023,0,Due on Receipt,Thanks for your business.,,0,,,30,,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CALIFORNIA DREAM CROP
STYLE#: PPCKIDSSUM125
C/#: WHITE
S X 1
M X 2
L X 2
XL X 1",6,0,0,132,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,,,,0,,,,,,
9/11/2023,2930117000000622001,INV-001111,Draft,2930117000000543729,XANADU,XANADU,9/11/2023,1595,USD,1,item_level,TRUE,Standard Template,0,,0,1,720,750,750,0,Adjustment,,8/14/2023,0,Due on Receipt,Thanks for your business.,,0,,,30,,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: LOS ANGELES 1989 CROP
STYLE#: PPCKIDSSUM122
C/#: VINTAGE PINK
S X 1
M X 2
L X 2
XL X 1",6,0,0,132,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,59 MAIN STREET,SOUTHAMPTON,NY,U.S.A,11968,,,,,,0,,,,,,
8/3/2023,2930117000000673172,INV-001229,Draft,2930117000000101389,TEAK & IVY,TEAK & IVY,8/3/2023,SE2206235431 B,USD,1,item_level,TRUE,Standard Template,0,,0,1,120,135,135,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,15,ELVIS AT SUN RECORDS TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: ELVIS AT SUN RECORDS TEE
CREW TEE | 100% COTTON
C/#: WHITE
ITEM#: PPC-KDSSP802
UPC: PPC1128SSP802
S X 2
M X 2
L X 2",6,0,0,120,,20,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,311 CENTRE STREET,Fernandina Beach,FL,,32034,,,311 CENTRE STREET,Fernandina Beach,FL,,32034,,,PPC-KDSSP802,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,MALIBU MOTORS CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: MALIBU MOTORS CROP PULLOVER
STYLE#: PPC-GRLS201
SKU/#: 8888344414
C/#: BLACK
S X 7",7,0,0,163.8,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,MALIBU MOTORS CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: MALIBU MOTORS CROP PULLOVER
STYLE#: PPC-GRLS201
SKU/#: 8888344415
C/#: BLACK
M X 15",15,0,0,351,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,MALIBU MOTORS CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: MALIBU MOTORS CROP PULLOVER
STYLE#: PPC-GRLS201
SKU/#: 8888344416
C/#: BLACK
L X 15",15,0,0,351,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,MALIBU MOTORS CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: MALIBU MOTORS CROP PULLOVER
STYLE#: PPC-GRLS201
SKU/#: 8888344417
C/#: BLACK
XL X 8",8,0,0,187.2,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,CIAO CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CIAO CROP P/O
STYLE#: PPC-GRLSFALL601
SKU/#: 8888344422
C/#: WHITE
S X 7",7,0,0,163.8,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,CIAO CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CIAO CROP P/O
STYLE#: PPC-GRLSFALL601
SKU/#: 8888344423
C/#: WHITE
M X 15",15,0,0,351,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,CIAO CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CIAO CROP P/O
STYLE#: PPC-GRLSFALL601
SKU/#: 8888344424
C/#: WHITE
L X 15",15,0,0,351,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
9/21/2023,2930117000000677043,INV-001237,Draft,2930117000000122001,EVERAFTER,EVERAFTER,10/21/2023,9264,USD,1,item_level,TRUE,Standard Template,0,,0,1,2106,2226,2226,0,Adjustment,,,30,Net 30,Thanks for your business.,"DELIVERED ON 9/21/2023 VIA UPS TRACKING # 

Package 1 - 1Z01VY580393855124
Package 2 - 1Z01VY580393379336",0,,,120,CIAO CROP P/O,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CIAO CROP P/O
STYLE#: PPC-GRLSFALL601
SKU/#: 8888344425
C/#: WHITE
XL X 8",8,0,0,187.2,,23.4,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,349 GREENWICH STREET,NEW YORK,NY,,10013,,,349 GREENWICH STREET,NEW YORK,NY,,10013,,,,,,0,,,,,,
8/10/2023,2930117000000682052,INV-001243,Draft,2930117000000114145,GIGI & JAYS,GIGI & JAYS,8/10/2023,RR02082343763,USD,1,item_level,TRUE,Standard Template,0,,0,1,536,566,566,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,HOWDY REPEAT TEE,"BRAND: PRINCE PETER COLLECTION 
DESCRIPTION: HOWDY REPEAT TEE
CREW TEE | 100% COTTON WHITE
SKU/#: PPC-KIDSP1-802
UPC #: PPC1212P1-802
C#: WHITE 
S X 1
M X 1
L X 1
XL X 1",4,0,0,88,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2004 Bryden Dr,Decatur,AL,,35603,,,400 FAIR HOPE AVE,FAIR HOPE,AL,,36532,,,PPC-KIDSP1-802,,,0,,,,,,
8/10/2023,2930117000000682052,INV-001243,Draft,2930117000000114145,GIGI & JAYS,GIGI & JAYS,8/10/2023,RR02082343763,USD,1,item_level,TRUE,Standard Template,0,,0,1,536,566,566,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,MALIBU TENNIS CLUB TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: MALIBU TENNIS CLUB TEE
CREW TEE | TRIBLEND
SKU/#: PPC-KIDSP2-123
UPC #: PPC1209P2-123
C/#: WHITE
S X 1
M X 1
L X 1
XL X 1",4,0,0,88,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2004 Bryden Dr,Decatur,AL,,35603,,,400 FAIR HOPE AVE,FAIR HOPE,AL,,36532,,,PPC-KIDSP2-123,,,0,,,,,,
8/10/2023,2930117000000682052,INV-001243,Draft,2930117000000114145,GIGI & JAYS,GIGI & JAYS,8/10/2023,RR02082343763,USD,1,item_level,TRUE,Standard Template,0,,0,1,536,566,566,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,ALL SMILES TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: ALL SMILES TEE
CREW TEE | 100% COTTON WHITE
C/#: WHITE
ITEM#: PPC-KIDSP1-402
UPC: PPC1208P1-402
S X 1
M X 1
L X 1
XL X 1",4,0,0,88,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2004 Bryden Dr,Decatur,AL,,35603,,,400 FAIR HOPE AVE,FAIR HOPE,AL,,36532,,,PPC-KIDSP1-402,,,0,,,,,,
8/10/2023,2930117000000682052,INV-001243,Draft,2930117000000114145,GIGI & JAYS,GIGI & JAYS,8/10/2023,RR02082343763,USD,1,item_level,TRUE,Standard Template,0,,0,1,536,566,566,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,COWGIRL PULLOVER,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: COWGIRL PULLOVER
OVERSIZED PULLOVER
50% COTTON / 50% POLYESTER WHITE
ITEM#: PPC-KDSSP555
UPC#: PPC1133SSP555
C/#: WHITE
S X 1
M X 1
L X 1
XL X 1",4,0,0,96,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2004 Bryden Dr,Decatur,AL,,35603,,,400 FAIR HOPE AVE,FAIR HOPE,AL,,36532,,,PPC-KDSSP555,,,0,,,,,,
8/10/2023,2930117000000682052,INV-001243,Draft,2930117000000114145,GIGI & JAYS,GIGI & JAYS,8/10/2023,RR02082343763,USD,1,item_level,TRUE,Standard Template,0,,0,1,536,566,566,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,YEEHAW REPEAT TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: YEEHAW REPEAT TEE
CREW TEE | TRIBLEND
SKU/#: PPC-KIDSP2-114
UPC#: PPC1209P2-114
C/#: WHITE
S X 1
M X 1
L X 1
XL X 1",4,0,0,88,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2004 Bryden Dr,Decatur,AL,,35603,,,400 FAIR HOPE AVE,FAIR HOPE,AL,,36532,,,PPC-KIDSP2-114,,,0,,,,,,
8/10/2023,2930117000000682052,INV-001243,Draft,2930117000000114145,GIGI & JAYS,GIGI & JAYS,8/10/2023,RR02082343763,USD,1,item_level,TRUE,Standard Template,0,,0,1,536,566,566,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,STAR SMILEY TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: STAR SMILEY TEE
STYLE#: PPCKIDSSUM108
UPC#: PPC1282SUM108
C/#: WHITE
S X 1
M X 1
L X 1
XL X 1",4,0,0,88,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2004 Bryden Dr,Decatur,AL,,35603,,,400 FAIR HOPE AVE,FAIR HOPE,AL,,36532,,,,,,0,,,,,,
8/10/2023,2930117000000682085,INV-001244,Draft,2930117000000471173,TOO!,TOO!,8/10/2023,CK01082357941,USD,1,item_level,TRUE,Standard Template,0,,0,1,396,426,426,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,WILD AND FREE TEE,"BRAND: PRINCE PETER COLLECTION 
DESCRIPTION: WILD AND FREE TEE (*TEE NOT CROP)
SKU/#: PPC-KIDSSUM115
UPC #: PPC1280SUM115
C/#: OFF-BLACK
S X 1
M X 2
L X 2
XL X 1",6,0,0,132,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,453 HIGHLAND AVE,AUGUSTA,Georgia,U.S.A,30909,,,453 HIGHLAND AVE,AUGUSTA,Georgia,U.S.A,30909,,,,,,0,,,,,,
8/10/2023,2930117000000682085,INV-001244,Draft,2930117000000471173,TOO!,TOO!,8/10/2023,CK01082357941,USD,1,item_level,TRUE,Standard Template,0,,0,1,396,426,426,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,HAVE MORE FUN TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: HAVE MORE FUN TEE
CREW TEE | 100% COTTON
SKU/#: PPC-KIDSP2-117
UPC #: PPC1212P2-117
C/#: WHITE
S X 1
M X 2
L X 2
XL X 1",6,0,0,132,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,453 HIGHLAND AVE,AUGUSTA,Georgia,U.S.A,30909,,,453 HIGHLAND AVE,AUGUSTA,Georgia,U.S.A,30909,,,PPC-KIDSP2-117,,,0,,,,,,
8/10/2023,2930117000000682085,INV-001244,Draft,2930117000000471173,TOO!,TOO!,8/10/2023,CK01082357941,USD,1,item_level,TRUE,Standard Template,0,,0,1,396,426,426,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,30,,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: NYC LANDMARK TEE (*TEE NOT CROP)
STYLE#: PPCKIDSSUM116
UPC #: PPC1281SUM116
C/#: HEATHER GREY
S X 1
M X 2
L X 2
XL X 1",6,0,0,132,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,453 HIGHLAND AVE,AUGUSTA,Georgia,U.S.A,30909,,,453 HIGHLAND AVE,AUGUSTA,Georgia,U.S.A,30909,,,,,,0,,,,,,
8/14/2023,2930117000000686001,INV-001248,Draft,2930117000000379051,CENTURY 21,CENTURY 21,8/14/2023,501237,USD,1,item_level,TRUE,Standard Template,0,,0,1,936,936,936,0,Adjustment,,,0,Due on Receipt,Thanks for your business.,,0,,,0,,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: PULLOVER GRAPHIC
(max-18 units per style
no nore than 4pc per size of a style
6-8 prints per assortment- wish list
All Fall prints)
S X 12
M X 24
L X 24
XL X 12",72,0,0,936,,13,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1 Dey Street, 4TH Floor,",NY,NEW YORK,US,10007,(516) 270-8883,,"1 Dey Street, 4TH Floor,",NY,NEW YORK,US,10007,,(516) 270-8883,,,,0,,,JBerman@c21stores.com,,,
