Invoice Date,Invoice ID,Invoice Number,Invoice Status,Customer ID,Customer Name,Company Name,Is Inclusive Tax,Due Date,PurchaseOrder,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Template Name,Entity Discount Percent,WriteOff Date,WriteOff Amount,WriteOff Exchange Rate,SubTotal,Total,Balance,Adjustment,Adjustment Description,Expected Payment Date,Last Payment Date,Payment Terms,Payment Terms Label,Notes,Terms & Conditions,Entity Discount Amount,Branch ID,Branch Name,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Item Name,Item Desc,Quantity,Discount,Discount Amount,Item Total,Usage unit,Item Price,Expense Reference ID,Recurrence Name,PayPal,Authorize.Net,Google Checkout,Payflow Pro,Stripe,Paytm,2Checkout,Braintree,Forte,WorldPay,Payments Pro,Square,WePay,Razorpay,GoCardless,Partial Payments,Billing Address,Billing City,Billing State,Billing Country,Billing Code,Billing Phone,Billing Fax,Shipping Address,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone Number,Project ID,Project Name,Round Off,Sales person,Primary Contact EmailID,Primary Contact Mobile,Primary Contact Phone,Estimate Number,Tax1 ID,Item Tax1,Item Tax1 %,Item Tax1 Amount,Item Tax1 Type
2024-02-14,135268000000834011,INV-0000,Draft,135268000000834001,BLANK,,false,2024-02-14,,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,0.00,0.00,0.00,0.00,Adjustment,,,0,Due on Receipt,Thanks for your business.,The order is ready to ship. Please make payment ready.,0.0,,,0.00,,,,,,,BLANK INVOICE,1.00,0.00,0.000,0.00,,0.00,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,
2024-04-03,135268000005148100,INV-11208,Draft,135268000001585001,LULU'S,LULU'S,false,2024-05-03,180392,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,7438.50,7438.50,7438.50,0.00,Adjustment,,,30,Net 30,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/3/2024:

Package 1 - 1Z01VY580392714251
Package 2 - 1Z01VY580393394266
Package 3 - 1Z01VY580392890874
Package 4 - 1Z01VY580391760088
Package 5 - 1Z01VY580393517892
Package 6 - 1Z01VY580393240305
Package 7 - 1Z01VY580392163310",0.0,,,0.00,,,,,,CASSETTE TAPE MUSCLE CROP,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CASSETTE TAPE MUSCLE CROP
STYLE NO: PPCCASSETCRP
LULU'S PRODUCT ID: 1398696
C/#: WASHED BLACK/BLACK
UPC: MS650910-01-XS
XS X 58",58.00,0.00,0.000,783.00,,13.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,3951 E. Earlstone Street.,Ontario,CA,,91761,,,,,0.00,,,,,,,,,,
2024-04-03,135268000005148100,INV-11208,Draft,135268000001585001,LULU'S,LULU'S,false,2024-05-03,180392,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,7438.50,7438.50,7438.50,0.00,Adjustment,,,30,Net 30,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/3/2024:

Package 1 - 1Z01VY580392714251
Package 2 - 1Z01VY580393394266
Package 3 - 1Z01VY580392890874
Package 4 - 1Z01VY580391760088
Package 5 - 1Z01VY580393517892
Package 6 - 1Z01VY580393240305
Package 7 - 1Z01VY580392163310",0.0,,,0.00,,,,,,CASSETTE TAPE MUSCLE CROP,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CASSETTE TAPE MUSCLE CROP
STYLE NO: PPCCASSETCRP
LULU'S PRODUCT ID: 1398696
C/#: WASHED BLACK/BLACK
UPC: MS650910-01-S
S X 194",194.00,0.00,0.000,2619.00,,13.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,3951 E. Earlstone Street.,Ontario,CA,,91761,,,,,0.00,,,,,,,,,,
2024-04-03,135268000005148100,INV-11208,Draft,135268000001585001,LULU'S,LULU'S,false,2024-05-03,180392,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,7438.50,7438.50,7438.50,0.00,Adjustment,,,30,Net 30,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/3/2024:

Package 1 - 1Z01VY580392714251
Package 2 - 1Z01VY580393394266
Package 3 - 1Z01VY580392890874
Package 4 - 1Z01VY580391760088
Package 5 - 1Z01VY580393517892
Package 6 - 1Z01VY580393240305
Package 7 - 1Z01VY580392163310",0.0,,,0.00,,,,,,CASSETTE TAPE MUSCLE CROP,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CASSETTE TAPE MUSCLE CROP
STYLE NO: PPCCASSETCRP
LULU'S PRODUCT ID: 1398696
C/#: WASHED BLACK/BLACK
UPC: MS650910-01-M
M X 191",191.00,0.00,0.000,2578.50,,13.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,3951 E. Earlstone Street.,Ontario,CA,,91761,,,,,0.00,,,,,,,,,,
2024-04-03,135268000005148100,INV-11208,Draft,135268000001585001,LULU'S,LULU'S,false,2024-05-03,180392,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,7438.50,7438.50,7438.50,0.00,Adjustment,,,30,Net 30,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/3/2024:

Package 1 - 1Z01VY580392714251
Package 2 - 1Z01VY580393394266
Package 3 - 1Z01VY580392890874
Package 4 - 1Z01VY580391760088
Package 5 - 1Z01VY580393517892
Package 6 - 1Z01VY580393240305
Package 7 - 1Z01VY580392163310",0.0,,,0.00,,,,,,CASSETTE TAPE MUSCLE CROP,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CASSETTE TAPE MUSCLE CROP
STYLE NO: PPCCASSETCRP
LULU'S PRODUCT ID: 1398696
C/#: WASHED BLACK/BLACK
UPC: MS650910-01-L
L X 75",75.00,0.00,0.000,1012.50,,13.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,3951 E. Earlstone Street.,Ontario,CA,,91761,,,,,0.00,,,,,,,,,,
2024-04-03,135268000005148100,INV-11208,Draft,135268000001585001,LULU'S,LULU'S,false,2024-05-03,180392,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,7438.50,7438.50,7438.50,0.00,Adjustment,,,30,Net 30,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/3/2024:

Package 1 - 1Z01VY580392714251
Package 2 - 1Z01VY580393394266
Package 3 - 1Z01VY580392890874
Package 4 - 1Z01VY580391760088
Package 5 - 1Z01VY580393517892
Package 6 - 1Z01VY580393240305
Package 7 - 1Z01VY580392163310",0.0,,,0.00,,,,,,CASSETTE TAPE MUSCLE CROP,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: CASSETTE TAPE MUSCLE CROP
STYLE NO: PPCCASSETCRP
LULU'S PRODUCT ID: 1398696
C/#: WASHED BLACK/BLACK
UPC: MS650910-01-XL
XL X 33",33.00,0.00,0.000,445.50,,13.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,3951 E. Earlstone Street.,Ontario,CA,,91761,,,,,0.00,,,,,,,,,,
2024-04-15,135268000005148136,INV-11210,Draft,135268000001585001,LULU'S,LULU'S,false,2024-04-15,180394,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,5800.00,5800.00,5800.00,0.00,Adjustment,,,0,Due on Receipt,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/12/2024:

Package 1 - 1Z01VY580396174613
Package 2 - 1Z01VY580396024623
Package 3 - 1Z01VY580395878632
Package 4 - 1Z01VY580397336642
Package 5 - 1Z01VY580396998653
Package 6 - 1Z01VY580396464667
Package 7 - 1Z01VY580397334671

",0.0,,,0.00,,,,,,JOSHUA TREE VINTAGE TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: JOSHUA TREE VINTAGE TEE
STYLE NO: PPCJOSHUA100
LULU'S PRODUCT ID: 1001302
C/#: IVORY
UPC: MS561363-01-XS
XS X 35",35.00,0.00,0.000,507.50,,14.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,"Mitco Global
16509 Trojan Way
La Mirada, CA 90638",,,,,,,,,0.00,,,,,,,,,,
2024-04-15,135268000005148136,INV-11210,Draft,135268000001585001,LULU'S,LULU'S,false,2024-04-15,180394,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,5800.00,5800.00,5800.00,0.00,Adjustment,,,0,Due on Receipt,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/12/2024:

Package 1 - 1Z01VY580396174613
Package 2 - 1Z01VY580396024623
Package 3 - 1Z01VY580395878632
Package 4 - 1Z01VY580397336642
Package 5 - 1Z01VY580396998653
Package 6 - 1Z01VY580396464667
Package 7 - 1Z01VY580397334671

",0.0,,,0.00,,,,,,JOSHUA TREE VINTAGE TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: JOSHUA TREE VINTAGE TEE
STYLE NO: PPCJOSHUA100
LULU'S PRODUCT ID: 1001302
C/#: IVORY
UPC: MS561363-01-S
S X 127",127.00,0.00,0.000,1841.50,,14.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,"Mitco Global
16509 Trojan Way
La Mirada, CA 90638",,,,,,,,,0.00,,,,,,,,,,
2024-04-15,135268000005148136,INV-11210,Draft,135268000001585001,LULU'S,LULU'S,false,2024-04-15,180394,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,5800.00,5800.00,5800.00,0.00,Adjustment,,,0,Due on Receipt,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/12/2024:

Package 1 - 1Z01VY580396174613
Package 2 - 1Z01VY580396024623
Package 3 - 1Z01VY580395878632
Package 4 - 1Z01VY580397336642
Package 5 - 1Z01VY580396998653
Package 6 - 1Z01VY580396464667
Package 7 - 1Z01VY580397334671

",0.0,,,0.00,,,,,,JOSHUA TREE VINTAGE TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: JOSHUA TREE VINTAGE TEE
STYLE NO: PPCJOSHUA100
LULU'S PRODUCT ID: 1001302
C/#: IVORY
UPC: MS561363-01-M
M X 146",146.00,0.00,0.000,2117.00,,14.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,"Mitco Global
16509 Trojan Way
La Mirada, CA 90638",,,,,,,,,0.00,,,,,,,,,,
2024-04-15,135268000005148136,INV-11210,Draft,135268000001585001,LULU'S,LULU'S,false,2024-04-15,180394,USD,1.00,item_level,true,Product - Professional,0.00,,0.00,1.00,5800.00,5800.00,5800.00,0.00,Adjustment,,,0,Due on Receipt,Thanks for your business.,"SHIPPED VIA UPS IN 7 CARTONS ON 4/12/2024:

Package 1 - 1Z01VY580396174613
Package 2 - 1Z01VY580396024623
Package 3 - 1Z01VY580395878632
Package 4 - 1Z01VY580397336642
Package 5 - 1Z01VY580396998653
Package 6 - 1Z01VY580396464667
Package 7 - 1Z01VY580397334671

",0.0,,,0.00,,,,,,JOSHUA TREE VINTAGE TEE,"BRAND: PRINCE PETER COLLECTION
DESCRIPTION: JOSHUA TREE VINTAGE TEE
STYLE NO: PPCJOSHUA100
LULU'S PRODUCT ID: 1001302
C/#: IVORY
UPC: MS561363-01-L
L X 68",68.00,0.00,0.000,986.00,,14.50,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,195 Humboldt Ave,CHICO,CALIFORNIA,USA,95928,,,"Mitco Global
16509 Trojan Way
La Mirada, CA 90638",,,,,,,,,0.00,,,,,,,,,,
